----------------------------------------------------
Start running at 2021-12-03 17:01:42.992013

Momentum: 0.031640700990239065
Trade: Buy at 2021-12-03 17:01:45.464833 for 4217.32
Balance: 10.0

At 2021-12-03 17:11:46.630059, Momentum: 0.03715976328283484 , Long: True

At 2021-12-03 17:21:47.734813, Momentum: 0.03405637848328183 , Long: True

At 2021-12-03 17:31:48.622127, Momentum: 0.03518406350351032 , Long: True

At 2021-12-03 17:41:49.711365, Momentum: 0.03751341926413219 , Long: True

At 2021-12-03 17:51:50.611736, Momentum: 0.033680200705273916 , Long: True

At 2021-12-03 18:01:51.979652, Momentum: 0.028096636433044192 , Long: True

At 2021-12-03 18:11:53.023792, Momentum: 0.035526608950237626 , Long: True

At 2021-12-03 18:21:54.095831, Momentum: 0.033284943315382925 , Long: True

At 2021-12-03 18:31:55.198612, Momentum: 0.03279479655752783 , Long: True

At 2021-12-03 18:41:56.678242, Momentum: 0.035852508779072645 , Long: True

At 2021-12-03 18:51:57.782356, Momentum: 0.029190650383813285 , Long: True

At 2021-12-03 19:01:58.856979, Momentum: 0.02959465718612868 , Long: True

At 2021-12-03 19:11:59.908038, Momentum: 0.028610496388968815 , Long: True

At 2021-12-03 19:22:01.043302, Momentum: 0.03575569455722406 , Long: True

At 2021-12-03 19:32:02.247204, Momentum: 0.03312869072565189 , Long: True

At 2021-12-03 19:42:03.995108, Momentum: 0.03863956938727166 , Long: True

At 2021-12-03 19:52:05.217075, Momentum: 0.038729041572077315 , Long: True

Momentum: -0.029966795235744748
Trade: Sell at 2021-12-03 20:02:06.394863 for 4211.33
Balance: 0.0

At 2021-12-03 20:12:07.616129, Momentum: -0.02696512855195518 , Long: False

At 2021-12-03 20:22:08.830632, Momentum: -0.023861514359615917 , Long: False

At 2021-12-03 20:32:09.956172, Momentum: -0.03244175860792734 , Long: False

At 2021-12-03 20:42:11.589090, Momentum: -0.0346007580143851 , Long: False

At 2021-12-03 20:52:12.786053, Momentum: -0.0427159281094278 , Long: False

At 2021-12-03 21:02:13.876132, Momentum: -0.04038098263564169 , Long: False

At 2021-12-03 21:12:14.892150, Momentum: -0.04982389611822075 , Long: False

At 2021-12-03 21:22:15.935907, Momentum: -0.04188894534719682 , Long: False

At 2021-12-03 21:32:16.985285, Momentum: -0.04443458412977667 , Long: False

At 2021-12-03 21:42:18.632032, Momentum: -0.0434112188062282 , Long: False

At 2021-12-03 21:52:19.703619, Momentum: -0.039474418618823434 , Long: False

At 2021-12-03 22:02:20.812379, Momentum: -0.03692462140060259 , Long: False

At 2021-12-03 22:12:21.922812, Momentum: -0.042304755263164 , Long: False

At 2021-12-03 22:22:23.022591, Momentum: -0.04228552324570055 , Long: False

At 2021-12-03 22:32:24.647334, Momentum: -0.04929116072739126 , Long: False

At 2021-12-03 22:42:25.736908, Momentum: -0.04383488540621376 , Long: False

At 2021-12-03 22:52:26.865382, Momentum: -0.04176399580742538 , Long: False

At 2021-12-03 23:02:27.905606, Momentum: -0.0426389706235907 , Long: False

At 2021-12-03 23:12:28.990050, Momentum: -0.04871515730384887 , Long: False

At 2021-12-03 23:22:30.810747, Momentum: -0.053483215074960774 , Long: False

At 2021-12-03 23:32:31.961283, Momentum: -0.05369960187815498 , Long: False

At 2021-12-03 23:42:33.589664, Momentum: -0.056972991002155006 , Long: False

At 2021-12-03 23:52:35.010608, Momentum: -0.06047498812705928 , Long: False

At 2021-12-04 00:02:36.150094, Momentum: -0.06689490152497804 , Long: False

At 2021-12-04 00:12:37.610362, Momentum: -0.055926972178411485 , Long: False

At 2021-12-04 00:22:39.223485, Momentum: -0.05271772758610763 , Long: False

At 2021-12-04 00:32:40.450867, Momentum: -0.059931656167242754 , Long: False

At 2021-12-04 00:42:41.487015, Momentum: -0.06351280127796716 , Long: False

